concept_id,evidence,id,preferred,recorded_at,register,rejected,responsible_workflow,schema_name,schema_version,scope,source_locale,source_term,status,supersedes_id,target_locale,variants
concept.absolute-value-linearization,Final id-ID corpus terminology audit,term.absolute-value-linearization.id,linearisasi nilai mutlak,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,absolute-value linearization,approved,,id-ID,[]
concept.lp-modeling-assumptions,Chapter 2 Assumptions section,term.additivity.id,aditivitas,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,linear-programming modeling assumption,en,additivity,approved,,id-ID,[]
concept.alternate-optima,Chapter 5 terminology decision,term.alternate-optima.id,solusi optimal alternatif,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,linear programming,en,alternate optimal solutions,approved,,id-ID,"[""beberapa optimum""]"
concept.graph-theory,Chapter 4 terminology decision,term.arc.id,busur,2026-08-23T00:00:00+02:00,academic,"[""sisi berarah""]",codex-r017-o018-id-production,interlanguage.term,0.1.0,directed networks,en,arc,approved,,id-ID,[]
concept.artificial-variable,Chapters 7 and 9 terminology decision,term.artificial-variable.id,variabel artifisial,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,simplex initialization,en,artificial variable,approved,,id-ID,[]
concept.assignment-model,Chapter 2 Assignment Problem subsection,term.assignment.id,masalah penugasan,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,binary integer-programming model class,en,assignment problem,approved,,id-ID,"[""model penugasan""]"
concept.basic-feasible-solution,"Chapters 7--9 terminology decision; 2026-08-22 Indonesian field-usage QA retained the preferred form, recorded a historical retrieval variant, and corrected one malformed local word order",term.basic-feasible-solution.id,solusi basis layak,2026-08-23T00:00:00+02:00,academic,"[""solusi layak dasar""]",codex-r017-o018-id-production,interlanguage.term,0.1.0,simplex method,en,basic feasible solution,approved,,id-ID,"[""SBL"",""pemecahan dasar yang layak""]"
concept.basis-matrix,Chapter 8 terminology decision,term.basis-matrix.id,matriks basis,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,matrix simplex,en,basis matrix,approved,,id-ID,[]
concept.big-m-modeling,Full-corpus id-ID terminology audit,term.big-m-modeling.id,pemodelan Big-M,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,Big-M modeling,approved,,id-ID,[]
concept.big-m-method,Chapters 7 and 9 terminology decision,term.big-m.id,metode Big-M,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,simplex initialization,en,Big-M method,approved,,id-ID,[]
concept.binary-integer-programming,first-boundary editorial terminology decision,term.binary-integer-programming.id,pemrograman bilangan bulat biner,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,model class; abbreviation BIP retained,en,binary integer programming,approved,,id-ID,[]
concept.sensitivity-analysis,Chapter 3 terminology decision,term.binding-constraint.id,kendala aktif,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,Solver reports and sensitivity analysis,en,binding constraint,approved,,id-ID,"[""kendala binding""]"
concept.bland-rule,Chapter 7 terminology decision,term.bland-rule.id,aturan Bland,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,simplex anti-cycling,en,Bland's rule,approved,,id-ID,[]
concept.canonical-form,Chapter 7 terminology decision,term.canonical-form.id,bentuk kanonik,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,simplex dictionaries,en,canonical form,approved,,id-ID,[]
concept.capital-allocation,Final id-ID corpus terminology audit,term.capital-allocation.id,model alokasi modal,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,capital-allocation model,approved,,id-ID,[]
concept.spreadsheet-modeling,Chapter 3 terminology decision,term.cell.id,sel,2026-08-23T00:00:00+02:00,technical,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,spreadsheet interface,en,cell,approved,,id-ID,[]
concept.lp-modeling-assumptions,Chapter 2 Assumptions section,term.certainty.id,kepastian,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,linear-programming modeling assumption,en,certainty,approved,,id-ID,[]
concept.compact-indexed-modeling,Chapter 4 terminology decision,term.compact-notation.id,notasi ringkas,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,indexed optimization models,en,compact notation,approved,,id-ID,[]
concept.complementary-slackness,Full-corpus id-ID terminology audit,term.complementary-slackness.id,kelonggaran komplementer,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,complementary slackness,approved,,id-ID,[]
concept.conditional-formatting,Chapter 3 terminology decision,term.conditional-formatting.id,pemformatan bersyarat,2026-08-23T00:00:00+02:00,technical,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,spreadsheet feature,en,conditional formatting,approved,,id-ID,[]
concept.constraint,first-boundary editorial terminology decision,term.constraint.id,kendala,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,optimization model,en,constraint,approved,,id-ID,"[""batasan""]"
concept.convex-combination,Chapter 6 terminology decision,term.convex-combination.id,kombinasi konveks,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,convex geometry,en,convex combination,approved,,id-ID,[]
concept.convex-set,Chapter 6 terminology decision,term.convex-set.id,himpunan konveks,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,convex geometry,en,convex set,approved,,id-ID,[]
concept.convex-optimization,first-boundary editorial terminology decision,term.convex.id,konveks,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,geometry and optimization,en,convex,approved,,id-ID,[]
concept.corner-point,Chapter 6 terminology decision,term.corner-point.id,titik sudut,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,polyhedral geometry; distinguish theorem terminology from general extreme point where needed,en,corner point,approved,,id-ID,"[""titik ekstrem""]"
concept.cycling,Chapter 7 terminology decision,term.cycling.id,siklus,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,simplex method,en,cycling,approved,,id-ID,"[""perulangan siklik""]"
concept.data-validation,Chapter 3 terminology decision,term.data-validation.id,validasi data,2026-08-23T00:00:00+02:00,technical,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,spreadsheet feature,en,data validation,approved,,id-ID,[]
concept.decision-variable,first-boundary editorial terminology decision,term.decision-variable.id,variabel keputusan,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,optimization model,en,decision variable,approved,,id-ID,[]
concept.degeneracy,Chapter 7 terminology decision,term.degeneracy.id,degenerasi,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,simplex method,en,degeneracy,approved,,id-ID,[]
concept.diet-problem,Final id-ID corpus terminology audit,term.diet-problem.id,masalah diet,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,diet problem,approved,,id-ID,[]
concept.dijkstra-algorithm,Full-corpus id-ID terminology audit,term.dijkstra-algorithm.id,algoritme Dijkstra,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,Dijkstra algorithm,approved,,id-ID,[]
concept.graph-theory,Chapter 4 terminology decision,term.directed-graph.id,graf berarah,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,network modeling,en,directed graph,approved,,id-ID,[]
concept.lp-modeling-assumptions,Chapter 2 Assumptions section,term.divisibility.id,keterbagian,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,linear-programming modeling assumption,en,divisibility,approved,,id-ID,[]
concept.dot-product,Full-corpus id-ID terminology audit,term.dot-product.id,hasil kali titik,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,dot product,approved,,id-ID,[]
concept.dual-formulation,Full-corpus id-ID terminology audit,term.dual-formulation.id,formulasi dual,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,dual formulation,approved,,id-ID,[]
concept.pivot-operation,Chapter 7 terminology decision,term.entering-variable.id,variabel masuk,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,simplex pivot,en,entering variable,approved,,id-ID,[]
concept.epsilon-constraint-method,Full-corpus id-ID terminology audit,term.epsilon-constraint-method.id,metode kendala epsilon,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,epsilon-constraint method,approved,,id-ID,"[""metode kendala ε""]"
concept.euler-circuit,Full-corpus id-ID terminology audit,term.euler-circuit.id,sirkuit Euler,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,Euler circuit,approved,,id-ID,[]
concept.excel-solver,Chapter 3 terminology decision,term.excel-solver.id,Solver Excel,2026-08-23T00:00:00+02:00,technical,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,Microsoft Excel optimization add-in; product token retained,en,Excel Solver,approved,,id-ID,[]
concept.expected-value-objective,Final id-ID corpus terminology audit,term.expected-value-objective.id,fungsi tujuan nilai harapan,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,expected-value objective,approved,,id-ID,[]
concept.extreme-point-optimality,Chapter 5 terminology decision,term.extreme-point.id,titik ekstrem,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,polyhedral geometry,en,extreme point,approved,,id-ID,"[""titik sudut""]"
concept.facility-location,Full-corpus id-ID terminology audit,term.facility-location.id,penentuan lokasi fasilitas,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,facility location,approved,,id-ID,[]
concept.feasible-region,first-boundary editorial decision; 2026-08-22 Indonesian field-usage QA found mixed fisibel/layak evidence and retained the scoped preferred-plus-variant policy,term.feasible-region.id,daerah fisibel,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,optimization model; gloss on first use,en,feasible region,approved,,id-ID,"[""daerah layak""]"
concept.fixed-charge-model,Full-corpus id-ID terminology audit,term.fixed-charge-model.id,model biaya tetap,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,fixed-charge model,approved,,id-ID,[]
concept.flow-balance-sign-convention,Chapter 4 terminology decision,term.flow-balance-convention.id,konvensi tanda keseimbangan aliran,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,comparison of out-minus-in and in-minus-out balance equations,en,flow-balance sign convention,approved,,id-ID,[]
concept.flow-conservation,Chapter 4 terminology decision,term.flow-conservation.id,konservasi aliran,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,network-flow constraints,en,flow conservation,approved,,id-ID,"[""keseimbangan aliran""]"
